,Subject,part_condition,Passages,trial_difficulty,RT,answers,QuestionNum,MW,Gender,ImplicitWP,MindwanderTheory,Chronotype,ChronotypePM,ChronotypeAM,ChronotypeC,MindwanderTheoryC,ImplicitWP_C,RT_wind_Z,RT_wind
122,26,cond2,5,Easy,12607.955,1,5.3,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,1.053108766,12607.955
123,26,cond2,6,Hard,3273.885,1,6.1,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,-0.621451121,3273.885
124,26,cond2,6,Hard,12276.965,1,6.2,1,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.993728177,12276.965
125,26,cond2,6,Hard,5091.23,1,6.3,1,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,-0.295414029,5091.23
126,26,cond2,7,Easy,9708.9,0,7.1,1,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.533009687,9708.9
127,26,cond2,7,Easy,7912.58,1,7.2,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.210744542,7912.58
128,26,cond2,8,Hard,6137.215001,1,8.1,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,-0.107761213,6137.215001
129,26,cond2,8,Hard,6095.245,1,8.2,1,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,-0.115290756,6095.245
130,26,cond2,8,Hard,9516.785,1,8.3,0,female,24,24,11,2.102679054,-5.030215286,-1.463768116,2.859375,0.409090909,0.498543685,9516.785
131,27,cond2,1,Easy,1549,1,1.1,0,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-0.930900615,1549
132,27,cond2,1,Easy,807,1,1.2,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.064017619,807
133,27,cond2,1,Easy,363,1,1.3,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
134,27,cond2,1,Easy,888,1,1.4,0,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.049485978,888
135,27,cond2,1,Easy,896,0,1.5,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.048050755,896
136,27,cond2,1,Easy,1489,1,1.6,0,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-0.941664793,1489
137,27,cond2,1,Easy,308,0,1.7,0,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
138,27,cond2,2,Hard,5569,1,2.1,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-0.209700672,5569
139,27,cond2,2,Hard,8628,0,2.2,0,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,0.339093015,8628
140,27,cond2,3,Easy,466,0,3.1,0,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.125194032,466
141,27,cond2,3,Easy,380,0,3.2,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
142,27,cond2,4,Hard,722,0,4.1,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.079266871,722
143,27,cond2,4,Hard,6981,0,4.2,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,0.043616323,6981
144,27,cond2,4,Hard,2605,0,4.3,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-0.741451078,2605
145,27,cond2,4,Hard,362,0,4.4,1,female,24,22,13,4.102679054,-3.030215286,0.536231884,0.859375,0.409090909,-1.137931643,395
